gene	module	Rg	ReproScore
INTS6	6	0.2980553619652372	0.7710997442455243
IQGAP1	1	0.09731317247616866	0.552003410059676
ITCH	4	0.026286109544780358	0.6121057118499573
ITGAV	3	0.11120139266443335	0.7011935208866156
ITGB1	1	0.2491424245185564	0.7399829497016198
JAK1	1	-0.14157152085847807	0.4398976982097187
JUN	2	0.34004349558588315	0.7809036658141517
KAT6A	2	0.3692043671156984	0.7966751918158568
KAT6B	2	0.02221619570197128	0.4560954816709292
KEAP1	2	0.23329646028838863	0.7212276214833759
KHSRP	2	0.30673505237960896	0.7864450127877237
KIF5B	7	-0.14062947817635713	0.3695652173913043
KMT2A	1	0.2205662158331369	0.5980392156862745
KMT2C	4	0.07814024797588766	0.623614663256607
KREMEN1	2	0.35386672124853646	0.7544757033248082
KTN1	1	0.24877899848594093	0.7894288150042625
LDB1	1	0.2753021798682217	0.6325660699062233
LMNA	1	0.4071974135214236	0.8508098891730606
LMO2	4	0.2126916628620627	0.6564364876385337
LTB	4	0.021652766992831092	0.603154305200341
LYN	4	0.3827528682787046	0.850383631713555
MAD2L2	3	0.06513151902207301	0.5750213128729753
MAP2K1	4	0.21630320582401466	0.6581415174765558
MAP2K2	3	-0.07201698214419623	0.43137254901960786
MAP2K3	4	0.19152982486437758	0.7416879795396419
MAP3K7	2	0.2540068510407464	0.7195225916453538
MAPK1	1	0.5393383798654121	0.8755328218243819
MAPK3	4	0.05180931377480584	0.6159420289855072
MAPKAP1	1	0.3996952436278034	0.664535379369139
MAX	2	-0.10479518026151852	0.4156010230179028
MCL1	1	0.44949876858556603	0.7915601023017903
MDM2	4	0.2906014385807151	0.8226768968456948
MDM4	2	0.09637858769870923	0.6295822676896845
MED1	1	-0.05950207125704729	0.4761295822676897
MED12	2	0.1451878587960586	0.5545609548167093
MGA	2	0.3144792030237963	0.7877237851662404
MKI67	3	0.25830455418562037	0.7190963341858483
MLH1	2	0.16953472290265276	0.8069053708439897
MNAT1	1	0.1280798925339262	0.5443307757885762
MRPS31	3	0.22858966969771	0.6479113384484229
MSH6	2	0.3537872960682925	0.7791986359761296
MYC	6	-0.20000221115180755	0.33418584825234443
MYH9	1	0.2718606182370863	0.6150895140664961
NBN	3	-0.08344996435722585	0.3618925831202046
NCOA3	1	0.6130933627306407	0.8196930946291561
