gene,Rg,Rg_mean,n_pairs_computable,ReproScore,R_self,frac_pairs,empirical_p,evt_p,evt_method,evt_n_exc,evt_xi,evt_gof_p,empirical_FDR,evt_FDR,shuffle_p,shuffle_FDR,shuffle_FDR_low_power,atlas_member,strength_tier
PIGA,0.22792139173905573,0.18803128060377183,6,0.6768968456947997,0.18803128060377183,0,0.10589410589410589,0.10589410589410589,empirical,NA,NA,NA,0.2173324058140812,0.2173324058140812,0.10589410589410589,0.2173324058140812,FALSE,FALSE,not_member
CXCR4,0.22719575097466782,0.16988128244093384,6,0.6091219096334186,0.16988128244093384,0,0.13186813186813187,0.13186813186813187,empirical,NA,NA,NA,0.25339366515837103,0.25339366515837103,0.13186813186813187,0.25339366515837103,FALSE,FALSE,not_member
VWF,0.22498178949495978,0.21151863230373377,6,0.6491901108269394,0.21151863230373377,0,0.14385614385614387,0.14385614385614387,empirical,NA,NA,NA,0.26351218874583365,0.26351218874583365,0.14385614385614387,0.26351218874583365,FALSE,FALSE,not_member
CREBBP,0.2244525161636337,0.23913410408310037,6,0.629156010230179,0.23913410408310037,0,0.1848151848151848,0.1848151848151848,empirical,NA,NA,NA,0.31915221342534117,0.31915221342534117,0.1848151848151848,0.31915221342534117,FALSE,FALSE,not_member
CBFB,0.22243953708013328,0.12306591769698315,6,0.5950554134697358,0.12306591769698315,0,0.11688311688311688,0.11688311688311688,empirical,NA,NA,NA,0.23376623376623376,0.23376623376623376,0.11688311688311688,0.23376623376623376,FALSE,FALSE,not_member
CHD3,0.22202698300759455,0.20798717708348438,6,0.7203751065643649,0.20798717708348438,0,0.08291708291708291,0.08291708291708291,empirical,NA,NA,NA,0.18680170404308333,0.18680170404308333,0.08291708291708291,0.18680170404308333,FALSE,FALSE,not_member
NFKBIA,0.22189297972511915,0.2822866682720949,6,0.701619778346121,0.2822866682720949,0,0.11588411588411589,0.11588411588411589,empirical,NA,NA,NA,0.23376623376623376,0.23376623376623376,0.11588411588411589,0.23376623376623376,FALSE,FALSE,not_member
KMT2A,0.2205662158331369,0.20976069737144784,6,0.5980392156862745,0.20976069737144784,0.16666666666666666,0.1848151848151848,0.1848151848151848,empirical,NA,NA,NA,0.31915221342534117,0.31915221342534117,0.1848151848151848,0.31915221342534117,FALSE,FALSE,not_member
FOXO3,0.22046947227920086,0.20692177284928728,6,0.7659846547314578,0.20692177284928728,0,0.03196803196803197,0.03196803196803197,empirical,NA,NA,NA,0.10442890442890443,0.10442890442890443,0.03196803196803197,0.10442890442890443,FALSE,FALSE,not_member
TP53,0.21938700863401067,0.23187354920446432,6,0.7058823529411765,0.23187354920446432,0,0.12987012987012986,0.12987012987012986,empirical,NA,NA,NA,0.25327905924920846,0.25327905924920846,0.12987012987012986,0.25327905924920846,FALSE,FALSE,not_member
TSC2,0.21826764276142052,0.25143833885680206,6,0.7075873827791986,0.25143833885680206,0,0.1008991008991009,0.1008991008991009,empirical,NA,NA,NA,0.21038535932152955,0.21038535932152955,0.1008991008991009,0.21038535932152955,FALSE,FALSE,not_member
MAP2K1,0.21630320582401466,0.24245678744171265,6,0.6581415174765558,0.24245678744171265,0.16666666666666666,0.1088911088911089,0.1088911088911089,empirical,NA,NA,NA,0.2223193473193473,0.2223193473193473,0.1088911088911089,0.2223193473193473,FALSE,FALSE,not_member
PML,0.21402906902457108,0.21756965918184976,6,0.7523444160272805,0.21756965918184976,0,0.07092907092907093,0.07092907092907093,empirical,NA,NA,NA,0.16953777929387684,0.16953777929387684,0.07092907092907093,0.16953777929387684,FALSE,FALSE,not_member
CDC42,0.21316560907078652,0.22120836382027806,6,0.6675191815856777,0.22120836382027806,0,0.1918081918081918,0.1918081918081918,empirical,NA,NA,NA,0.32549268912905277,0.32549268912905277,0.1918081918081918,0.32549268912905277,FALSE,FALSE,not_member
LMO2,0.2126916628620627,0.1915206564439248,6,0.6564364876385337,0.1915206564439248,0.16666666666666666,0.053946053946053944,0.053946053946053944,empirical,NA,NA,NA,0.13731722822631912,0.13731722822631912,0.053946053946053944,0.13731722822631912,FALSE,FALSE,not_member
WWTR1,0.20788461140559905,0.2275241570751868,6,0.6564364876385337,0.2275241570751868,0,0.17382617382617382,0.17382617382617382,empirical,NA,NA,NA,0.30419580419580416,0.30419580419580416,0.17382617382617382,0.30419580419580416,FALSE,FALSE,not_member
RPL5,0.20710371603852207,0.27639777404747956,6,0.7412617220801364,0.27639777404747956,0,0.17382617382617382,0.17382617382617382,empirical,NA,NA,NA,0.30419580419580416,0.30419580419580416,0.17382617382617382,0.30419580419580416,FALSE,FALSE,not_member
EIF2B1,0.20626209969229048,0.21804995515974954,6,0.7412617220801364,0.21804995515974954,0.16666666666666666,0.04195804195804196,0.04195804195804196,empirical,NA,NA,NA,0.12183372183372185,0.12183372183372185,0.04195804195804196,0.12183372183372185,FALSE,FALSE,not_member
ZFP36L1,0.20603364469722196,0.16957741519752073,6,0.7080136402387042,0.16957741519752073,0.16666666666666666,0.04995004995004995,0.04995004995004995,empirical,NA,NA,NA,0.13226508590747002,0.13226508590747002,0.04995004995004995,0.13226508590747002,FALSE,FALSE,not_member
RUNX1,0.2044259337982014,0.20558243011079586,6,0.6764705882352942,0.20558243011079586,0,0.1028971028971029,0.1028971028971029,empirical,NA,NA,NA,0.2134162134162134,0.2134162134162134,0.1028971028971029,0.2134162134162134,FALSE,FALSE,not_member
VHL,0.204384281355507,0.18476067982823646,6,0.6658141517476556,0.18476067982823646,0.16666666666666666,0.0999000999000999,0.0999000999000999,empirical,NA,NA,NA,0.21038535932152955,0.21038535932152955,0.0999000999000999,0.21038535932152955,FALSE,FALSE,not_member
DNAJB1,0.20412539743266392,0.1519993371740891,6,0.6649616368286445,0.1519993371740891,0,0.13086913086913088,0.13086913086913088,empirical,NA,NA,NA,0.25339366515837103,0.25339366515837103,0.13086913086913088,0.25339366515837103,FALSE,FALSE,not_member
BRCA1,0.202986478205622,0.24603046513710566,6,0.716538789428815,0.24603046513710566,0,0.14285714285714285,0.14285714285714285,empirical,NA,NA,NA,0.2629107981220657,0.2629107981220657,0.14285714285714285,0.2629107981220657,FALSE,FALSE,not_member
